"","2.5 %","97.5 %","variable_names","estimate"
"(Intercept)",-0.011279012169603,0.045142898009355,"(Intercept)",0.016931942919876
"factor(event_psa)102",0.0428100987924548,0.0428100987925858,"factor(event_psa)102",0.0428100987925203
"factor(event_psa)103",0.0658616904500697,0.0658616904502227,"factor(event_psa)103",0.0658616904501462
"factor(event_psa)104",0.0252469813390834,0.0252469813391551,"factor(event_psa)104",0.0252469813391192
"factor(event_psa)105",0.117453347969381,0.117453347969401,"factor(event_psa)105",0.117453347969391
"factor(event_psa)106",0.0504939626783749,0.0504939626784077,"factor(event_psa)106",0.0504939626783913
"factor(event_psa)107",-0.0164654226124512,-0.0164654226124261,"factor(event_psa)107",-0.0164654226124387
"factor(event_psa)108",0.0954994511525244,0.0954994511525393,"factor(event_psa)108",0.0954994511525318
"factor(event_psa)201",-0.0351262349066515,-0.035126234906556,"factor(event_psa)201",-0.0351262349066037
"factor(event_psa)202",-0.0307354555433691,-0.0307354555433529,"factor(event_psa)202",-0.030735455543361
"factor(event_psa)203",-0.0340285400658894,-0.0340285400658271,"factor(event_psa)203",-0.0340285400658583
"factor(event_psa)204",-0.0153677277718779,-0.0153677277718121,"factor(event_psa)204",-0.015367727771845
"factor(event_psa)205",-0.0329308452250237,-0.0329308452249705,"factor(event_psa)205",-0.0329308452249971
"factor(event_psa)206",-0.031833150384275,-0.0318331503842556,"factor(event_psa)206",-0.0318331503842653
"factor(event_psa)207",0.0614709110864546,0.0614709110865429,"factor(event_psa)207",0.0614709110864988
"factor(event_psa)208",-0.0175631174534161,-0.0175631174533386,"factor(event_psa)208",-0.0175631174533773
"factor(event_psa)301",-0.0109769484083244,-0.0109769484082728,"factor(event_psa)301",-0.0109769484082986
"factor(event_psa)302",0.0461031833149726,0.0461031833150066,"factor(event_psa)302",0.0461031833149896
"factor(event_psa)303",-0.0010976948407863,-0.00109769484075547,"factor(event_psa)303",-0.00109769484077088
"factor(event_psa)304",-0.00768386388606092,-0.00768386388595771,"factor(event_psa)304",-0.00768386388600932
"factor(event_psa)305",0.00109769484080119,0.00109769484085935,"factor(event_psa)305",0.00109769484083027
"factor(event_psa)306",-1.27040744424297e-13,-6.56622740606712e-14,"factor(event_psa)306",-9.6351509242484e-14
"factor(event_psa)307",-0.025246981339418,-0.0252469813393039,"factor(event_psa)307",-0.0252469813393609
"factor(event_psa)308",0.00658616904486599,0.00658616904494135,"factor(event_psa)308",0.00658616904490367
"factor(event_psa)401",-0.0241492864986473,-0.0241492864984891,"factor(event_psa)401",-0.0241492864985682
"factor(event_psa)402",0.0307354555432368,0.0307354555433149,"factor(event_psa)402",0.0307354555432758
"factor(event_psa)403",0.0186608122942121,0.0186608122942222,"factor(event_psa)403",0.0186608122942172
"factor(event_psa)404",0.0318331503840703,0.0318331503841326,"factor(event_psa)404",0.0318331503841014
"factor(event_psa)405",0.0713501646543413,0.0713501646543518,"factor(event_psa)405",0.0713501646543465
"factor(event_psa)406",-0.0054884742041143,-0.00548847420402495,"factor(event_psa)406",-0.00548847420406963
"factor(event_psa)407",0.0186608122940739,0.0186608122941582,"factor(event_psa)407",0.0186608122941161
"factor(event_psa)408",-0.0307354555435455,-0.030735455543479,"factor(event_psa)408",-0.0307354555435122
"factor(event_psa)409",0.00548847420418924,0.00548847420428613,"factor(event_psa)409",0.00548847420423768
"factor(event_psa)501",0.0450054884741541,0.0450054884741654,"factor(event_psa)501",0.0450054884741597
"factor(event_psa)502",0.0406147091106895,0.0406147091107959,"factor(event_psa)502",0.0406147091107427
"factor(event_psa)503",0.087815587266538,0.0878155872666985,"factor(event_psa)503",0.0878155872666183
"factor(event_psa)504",0.0131723380899046,0.0131723380899313,"factor(event_psa)504",0.013172338089918
"factor(event_psa)505",0.0285400658616703,0.0285400658617055,"factor(event_psa)505",0.0285400658616879
"factor(event_psa)506",0.0944017563116579,0.0944017563116687,"factor(event_psa)506",0.0944017563116633
"factor(event_psa)507",0.149286498353565,0.14928649835363,"factor(event_psa)507",0.149286498353598
"factor(event_psa)601",0.0461031833151004,0.0461031833151183,"factor(event_psa)601",0.0461031833151094
"factor(event_psa)602",0.1591657519208,0.159165751920816,"factor(event_psa)602",0.159165751920808
"factor(event_psa)603",0.158068057080116,0.158068057080142,"factor(event_psa)603",0.158068057080129
"factor(event_psa)604",0.183315038419253,0.183315038419385,"factor(event_psa)604",0.183315038419319
"factor(event_psa)605",0.0153677277715928,0.0153677277716691,"factor(event_psa)605",0.0153677277716309
"factor(event_psa)606",-0.00768386388598618,-0.0076838638858639,"factor(event_psa)606",-0.00768386388592504
"factor(event_psa)607",0.0395170142700017,0.0395170142701163,"factor(event_psa)607",0.039517014270059
"factor(event_psa)608",0.164654226125115,0.164654226125162,"factor(event_psa)608",0.164654226125139
"factor(event_psa)701",-0.00911117395917777,0.441438287021631,"factor(event_psa)701",0.216163556531227
"factor(event_psa)702",0.0205265867433587,0.471076047723999,"factor(event_psa)702",0.245801317233679
"factor(event_psa)703",-0.000329615232511016,0.450219845748248,"factor(event_psa)703",0.224945115257869
"factor(event_psa)704",0.0194288919025012,0.469978352883184,"factor(event_psa)704",0.244703622392843
"factor(event_psa)705",-0.0661913056825329,0.384358155298143,"factor(event_psa)705",0.159083424807805
"factor(event_psa)706",0.0194288919025265,0.469978352883298,"factor(event_psa)706",0.244703622392912
"factor(event_psa)707",-0.0650936108417177,0.385455850139004,"factor(event_psa)707",0.160181119648643
"factor(event_psa)708",-0.0563120521150527,0.394237408865702,"factor(event_psa)708",0.168962678375325
"factor(quarters_since_treatment)-4",-0.0124573120279053,0.049031386102032,"factor(quarters_since_treatment)-4",0.0182870370370634
"factor(quarters_since_treatment)-3",-0.0159030497121419,0.0427549015640499,"factor(quarters_since_treatment)-3",0.013425925925954
"factor(quarters_since_treatment)-2",-0.00806510089160785,0.054824360150912,"factor(quarters_since_treatment)-2",0.0233796296296521
"factor(quarters_since_treatment)-1",-0.0141929573217557,0.0405818462106785,"factor(quarters_since_treatment)-1",0.0131944444444614
"factor(quarters_since_treatment)0",-0.00377856460281203,0.0574822683065627,"factor(quarters_since_treatment)0",0.0268518518518753
"factor(quarters_since_treatment)1",-0.0129154772288088,0.0457858475992285,"factor(quarters_since_treatment)1",0.0164351851852098
"factor(quarters_since_treatment)2",-0.00319452053561772,0.0587500760912191,"factor(quarters_since_treatment)2",0.0277777777778007
"factor(quarters_since_treatment)3",-0.0117181679788602,0.0445885383492715,"factor(quarters_since_treatment)3",0.0164351851852057
"factor(quarters_since_treatment)4",-0.0093190717841164,0.050985738450826,"factor(quarters_since_treatment)4",0.0208333333333548
"factor(quarters_since_treatment)5",-0.00314322331371298,0.061476556647094,"factor(quarters_since_treatment)5",0.0291666666666905
"factor(quarters_since_treatment)6",-0.0393622870575981,0.0574178426131825,"factor(quarters_since_treatment)6",0.00902777777779221
"factor(quarters_since_treatment)-4:factor(Treated)TRUE",-0.276139293893986,0.136787442042282,"factor(quarters_since_treatment)-4:factor(Treated)TRUE",-0.0696759259258521
"factor(quarters_since_treatment)-3:factor(Treated)TRUE",-0.273828373808684,0.2080876330681,"factor(quarters_since_treatment)-3:factor(Treated)TRUE",-0.032870370370292
"factor(quarters_since_treatment)-2:factor(Treated)TRUE",-0.2761005110926,0.201563474055718,"factor(quarters_since_treatment)-2:factor(Treated)TRUE",-0.0372685185184411
"factor(quarters_since_treatment)-1:factor(Treated)TRUE",-0.313622905729408,0.153900683507346,"factor(quarters_since_treatment)-1:factor(Treated)TRUE",-0.0798611111110312
"factor(quarters_since_treatment)0:factor(Treated)TRUE",-0.337870085597906,0.131388604116583,"factor(quarters_since_treatment)0:factor(Treated)TRUE",-0.103240740740662
"factor(quarters_since_treatment)1:factor(Treated)TRUE",-0.257834797514918,0.205519982700254,"factor(quarters_since_treatment)1:factor(Treated)TRUE",-0.0261574074073321
"factor(quarters_since_treatment)2:factor(Treated)TRUE",-0.318566846045754,0.132455734934798,"factor(quarters_since_treatment)2:factor(Treated)TRUE",-0.0930555555554781
"factor(quarters_since_treatment)3:factor(Treated)TRUE",-0.312454537571275,0.129584167201067,"factor(quarters_since_treatment)3:factor(Treated)TRUE",-0.0914351851851044
