"","2.5 %","97.5 %","variable_names","estimate"
"(Intercept)",-0.0214472229663567,-0.0106146138430199,"(Intercept)",-0.0160309184046883
"factor(event_psa)102",0.0395170142701495,0.0395170142701575,"factor(event_psa)102",0.0395170142701535
"factor(event_psa)103",0.0142700329308548,0.0142700329308642,"factor(event_psa)103",0.0142700329308595
"factor(event_psa)104",0.00548847420415466,0.00548847420415968,"factor(event_psa)104",0.00548847420415717
"factor(event_psa)105",0.0614709110866309,0.0614709110866328,"factor(event_psa)105",0.0614709110866319
"factor(event_psa)106",0.0164654226125396,0.016465422612542,"factor(event_psa)106",0.0164654226125408
"factor(event_psa)107",0.00219538968171042,0.00219538968171207,"factor(event_psa)107",0.00219538968171125
"factor(event_psa)108",0.0669593852909635,0.066959385290965,"factor(event_psa)108",0.0669593852909642
"factor(event_psa)201",-0.00329308452252083,-0.00329308452251489,"factor(event_psa)201",-0.00329308452251786
"factor(event_psa)202",-0.00329308452247771,-0.00329308452247604,"factor(event_psa)202",-0.00329308452247687
"factor(event_psa)203",-0.00109769484080206,-0.00109769484079894,"factor(event_psa)203",-0.0010976948408005
"factor(event_psa)204",0.0142700329308567,0.0142700329308603,"factor(event_psa)204",0.0142700329308585
"factor(event_psa)205",1.63632875169535e-14,1.92829052711046e-14,"factor(event_psa)205",1.7823096394029e-14
"factor(event_psa)206",-0.00219538968164707,-0.00219538968164529,"factor(event_psa)206",-0.00219538968164618
"factor(event_psa)207",0.00439077936330353,0.00439077936330872,"factor(event_psa)207",0.00439077936330612
"factor(event_psa)208",-0.00109769484084133,-0.00109769484083682,"factor(event_psa)208",-0.00109769484083908
"factor(event_psa)301",0.00548847420419135,0.00548847420419403,"factor(event_psa)301",0.00548847420419269
"factor(event_psa)302",0.0109769484083496,0.0109769484083521,"factor(event_psa)302",0.0109769484083508
"factor(event_psa)303",0.00878155872669045,0.00878155872669262,"factor(event_psa)303",0.00878155872669153
"factor(event_psa)304",0.00987925356751773,0.00987925356752335,"factor(event_psa)304",0.00987925356752054
"factor(event_psa)305",0.0021953896816754,0.00219538968167893,"factor(event_psa)305",0.00219538968167716
"factor(event_psa)306",0.00329308452249429,0.00329308452249775,"factor(event_psa)306",0.00329308452249602
"factor(event_psa)307",3.70645386854881e-14,4.30372757748771e-14,"factor(event_psa)307",4.00509072301826e-14
"factor(event_psa)308",0.0098792535675098,0.00987925356751439,"factor(event_psa)308",0.0098792535675121
"factor(event_psa)401",0.00219538968166748,0.00219538968167603,"factor(event_psa)401",0.00219538968167176
"factor(event_psa)402",0.0263446761799864,0.0263446761799906,"factor(event_psa)402",0.0263446761799885
"factor(event_psa)403",0.0109769484083512,0.0109769484083525,"factor(event_psa)403",0.0109769484083519
"factor(event_psa)404",0.016465422612508,0.016465422612512,"factor(event_psa)404",0.01646542261251
"factor(event_psa)405",0.0241492864983996,0.0241492864984005,"factor(event_psa)405",0.0241492864984
"factor(event_psa)406",0.00219538968165319,0.00219538968165827,"factor(event_psa)406",0.00219538968165573
"factor(event_psa)407",0.00987925356749446,0.00987925356749916,"factor(event_psa)407",0.00987925356749681
"factor(event_psa)408",1.77559817162e-14,2.19530542986733e-14,"factor(event_psa)408",1.98545180074367e-14
"factor(event_psa)409",0.00658616904500624,0.00658616904501167,"factor(event_psa)409",0.00658616904500895
"factor(event_psa)501",0.0142700329308625,0.0142700329308634,"factor(event_psa)501",0.0142700329308629
"factor(event_psa)502",0.019758507134998,0.0197585071350041,"factor(event_psa)502",0.0197585071350011
"factor(event_psa)503",0.0406147091108413,0.0406147091108505,"factor(event_psa)503",0.0406147091108459
"factor(event_psa)504",0.00987925356749225,0.00987925356749425,"factor(event_psa)504",0.00987925356749325
"factor(event_psa)505",0.00109769484082628,0.0010976948408285,"factor(event_psa)505",0.00109769484082739
"factor(event_psa)506",0.0296377607025067,0.029637760702508,"factor(event_psa)506",0.0296377607025074
"factor(event_psa)507",0.0263446761800505,0.0263446761800541,"factor(event_psa)507",0.0263446761800523
"factor(event_psa)601",0.0252469813392116,0.0252469813392132,"factor(event_psa)601",0.0252469813392124
"factor(event_psa)602",0.0417124039516659,0.0417124039516674,"factor(event_psa)602",0.0417124039516667
"factor(event_psa)603",0.0439077936333753,0.0439077936333774,"factor(event_psa)603",0.0439077936333763
