"","2.5 %","97.5 %","variable_names","estimate"
"(Intercept)",-0.0806242449479153,0.434228343008762,"(Intercept)",0.176802049030423
"factor(event_psa)102",0.0186608122943905,0.0186608122946087,"factor(event_psa)102",0.0186608122944996
"factor(event_psa)103",0.0933040614704852,0.0933040614707417,"factor(event_psa)103",0.0933040614706135
"factor(event_psa)104",0.187705817782419,0.187705817782564,"factor(event_psa)104",0.187705817782492
"factor(event_psa)105",0.287596048298345,0.287596048298433,"factor(event_psa)105",0.287596048298389
"factor(event_psa)106",0.219538968167176,0.219538968167287,"factor(event_psa)106",0.219538968167232
"factor(event_psa)107",0.0746432491767328,0.0746432491768225,"factor(event_psa)107",0.0746432491767777
"factor(event_psa)108",0.285400658616815,0.285400658616901,"factor(event_psa)108",0.285400658616858
"factor(event_psa)201",0.0142700329307969,0.0142700329310124,"factor(event_psa)201",0.0142700329309047
"factor(event_psa)202",0.0131723380899763,0.0131723380900629,"factor(event_psa)202",0.0131723380900196
"factor(event_psa)203",0.00439077936310798,0.00439077936321793,"factor(event_psa)203",0.00439077936316296
"factor(event_psa)204",0.0318331503839986,0.0318331503841233,"factor(event_psa)204",0.0318331503840609
"factor(event_psa)205",0.0109769484089786,0.0109769484090922,"factor(event_psa)205",0.0109769484090354
"factor(event_psa)206",0.0230515916570379,0.0230515916571425,"factor(event_psa)206",0.0230515916570902
"factor(event_psa)207",0.00987925356740062,0.00987925356756184,"factor(event_psa)207",0.00987925356748123
"factor(event_psa)208",0.0109769484084406,0.0109769484085801,"factor(event_psa)208",0.0109769484085103
"factor(event_psa)301",0.107574094401679,0.107574094401782,"factor(event_psa)301",0.107574094401731
"factor(event_psa)302",0.318331503841704,0.318331503841801,"factor(event_psa)302",0.318331503841753
"factor(event_psa)303",0.0878155872666516,0.0878155872667445,"factor(event_psa)303",0.087815587266698
"factor(event_psa)304",0.327113062568604,0.327113062568765,"factor(event_psa)304",0.327113062568685
"factor(event_psa)305",0.102085620197333,0.102085620197472,"factor(event_psa)305",0.102085620197402
"factor(event_psa)306",0.155872667397657,0.155872667397792,"factor(event_psa)306",0.155872667397725
"factor(event_psa)307",0.10318331503879,0.103183315038963,"factor(event_psa)307",0.103183315038876
"factor(event_psa)308",0.319429198682975,0.31942919868314,"factor(event_psa)308",0.319429198683057
"factor(event_psa)401",0.142700329308097,0.142700329308321,"factor(event_psa)401",0.142700329308209
"factor(event_psa)402",0.336992316135701,0.336992316135834,"factor(event_psa)402",0.336992316135768
"factor(event_psa)403",0.433589462129763,0.433589462129851,"factor(event_psa)403",0.433589462129807
