"","2.5 %","97.5 %","variable_names","estimate"
"(Intercept)",-0.037403497606462,0.0323998386238328,"(Intercept)",-0.00250182949131461
"factor(event_psa)102",0.00878155872662726,0.0087815587267717,"factor(event_psa)102",0.00878155872669948
"factor(event_psa)103",0.0263446761798436,0.0263446761799995,"factor(event_psa)103",0.0263446761799215
"factor(event_psa)104",0.0713501646540447,0.0713501646541644,"factor(event_psa)104",0.0713501646541046
"factor(event_psa)105",0.0548847420416365,0.0548847420417447,"factor(event_psa)105",0.0548847420416906
"factor(event_psa)106",0.0219538968167016,0.0219538968168115,"factor(event_psa)106",0.0219538968167565
"factor(event_psa)107",0.0241492864983664,0.024149286498475,"factor(event_psa)107",0.0241492864984207
"factor(event_psa)108",0.0592755214049917,0.0592755214050994,"factor(event_psa)108",0.0592755214050456
"factor(event_psa)201",-0.00439077936345269,-0.00439077936332343,"factor(event_psa)201",-0.00439077936338806
"factor(event_psa)202",0.0021953896814611,0.00219538968156873,"factor(event_psa)202",0.00219538968151492
"factor(event_psa)203",-0.00329308452247253,-0.00329308452235612,"factor(event_psa)203",-0.00329308452241433
"factor(event_psa)204",0.00219538968166103,0.00219538968177866,"factor(event_psa)204",0.00219538968171985
"factor(event_psa)205",-0.0032930845224525,-0.00329308452233835,"factor(event_psa)205",-0.00329308452239543
"factor(event_psa)206",0.00109769484081877,0.00109769484092697,"factor(event_psa)206",0.00109769484087287
"factor(event_psa)207",0.0329308452248018,0.0329308452249273,"factor(event_psa)207",0.0329308452248646
"factor(event_psa)208",0.0109769484083388,0.0109769484084601,"factor(event_psa)208",0.0109769484083995
"factor(event_psa)301",0.017563117453401,0.0175631174535147,"factor(event_psa)301",0.0175631174534579
"factor(event_psa)302",0.0614709110866257,0.0614709110867357,"factor(event_psa)302",0.0614709110866807
"factor(event_psa)303",0.0197585071349519,0.0197585071350614,"factor(event_psa)303",0.0197585071350067
"factor(event_psa)304",0.0636663007682861,0.0636663007684174,"factor(event_psa)304",0.0636663007683518
"factor(event_psa)305",0.0461031833149261,0.0461031833150417,"factor(event_psa)305",0.0461031833149839
"factor(event_psa)306",0.0263446761797675,0.026344676179884,"factor(event_psa)306",0.0263446761798257
"factor(event_psa)307",0.0175631174533649,0.0175631174535009,"factor(event_psa)307",0.0175631174534329
"factor(event_psa)308",0.034028540065808,0.0340285400659291,"factor(event_psa)308",0.0340285400658685
"factor(event_psa)401",0.0263446761797453,0.0263446761799033,"factor(event_psa)401",0.0263446761798243
"factor(event_psa)402",0.0472008781557304,0.0472008781558519,"factor(event_psa)402",0.0472008781557912
"factor(event_psa)403",0.062568605927531,0.0625686059276385,"factor(event_psa)403",0.0625686059275847
"factor(event_psa)404",0.0559824368824138,0.0559824368825307,"factor(event_psa)404",0.0559824368824723
"factor(event_psa)405",0.0691547749726503,0.0691547749727578,"factor(event_psa)405",0.069154774972704
"factor(event_psa)406",0.0318331503842399,0.0318331503843659,"factor(event_psa)406",0.0318331503843029
