"","2.5 %","97.5 %","variable_names","estimate"
"(Intercept)",0.0115794713265188,0.123757155091476,"(Intercept)",0.0676683132089976
"factor(event_psa)102",0.0768386388583203,0.0768386388584217,"factor(event_psa)102",0.076838638858371
"factor(event_psa)103",0.0889132821075389,0.0889132821076553,"factor(event_psa)103",0.0889132821075971
"factor(event_psa)104",0.135016465422477,0.135016465422544,"factor(event_psa)104",0.135016465422511
"factor(event_psa)105",0.115257958287522,0.115257958287566,"factor(event_psa)105",0.115257958287544
"factor(event_psa)106",0.036223929747701,0.0362239297477523,"factor(event_psa)106",0.0362239297477266
"factor(event_psa)107",0.0724478594952675,0.0724478594953184,"factor(event_psa)107",0.0724478594952929
"factor(event_psa)108",0.159165751920902,0.159165751920945,"factor(event_psa)108",0.159165751920923
"factor(event_psa)201",-0.0548847420422036,-0.0548847420421145,"factor(event_psa)201",-0.0548847420421591
"factor(event_psa)202",-0.0131723380900376,-0.0131723380899834,"factor(event_psa)202",-0.0131723380900105
"factor(event_psa)203",-0.0230515916571186,-0.0230515916569732,"factor(event_psa)203",-0.0230515916570459
"factor(event_psa)204",-0.0285400658615666,-0.0285400658615028,"factor(event_psa)204",-0.0285400658615347
"factor(event_psa)205",-0.0515916575189604,-0.051591657518904,"factor(event_psa)205",-0.0515916575189322
"factor(event_psa)206",0.0318331503840958,0.031833150384146,"factor(event_psa)206",0.0318331503841209
"factor(event_psa)207",0.176728869373749,0.176728869373826,"factor(event_psa)207",0.176728869373788
"factor(event_psa)208",0.1602634467616,0.160263446761669,"factor(event_psa)208",0.160263446761635
"factor(event_psa)301",0.0559824368828071,0.0559824368828625,"factor(event_psa)301",0.0559824368828348
"factor(event_psa)302",0.236004390779046,0.236004390779096,"factor(event_psa)302",0.236004390779071
"factor(event_psa)303",0.0691547749726044,0.0691547749726509,"factor(event_psa)303",0.0691547749726276
"factor(event_psa)304",0.128430296377599,0.128430296377681,"factor(event_psa)304",0.12843029637764
"factor(event_psa)305",0.188803512623541,0.188803512623603,"factor(event_psa)305",0.188803512623572
"factor(event_psa)306",0.0197585071347188,0.019758507134784,"factor(event_psa)306",0.0197585071347514
"factor(event_psa)307",0.0472008781558799,0.0472008781560302,"factor(event_psa)307",0.047200878155955
"factor(event_psa)308",0.0680570801316833,0.0680570801317549,"factor(event_psa)308",0.0680570801317191
"factor(event_psa)401",0.0274423710207604,0.027442371020876,"factor(event_psa)401",0.0274423710208182
"factor(event_psa)402",0.0625686059274591,0.0625686059276418,"factor(event_psa)402",0.0625686059275504
"factor(event_psa)403",0.140504939626853,0.140504939626895,"factor(event_psa)403",0.140504939626874
"factor(event_psa)404",0.116355653128375,0.116355653128438,"factor(event_psa)404",0.116355653128407
"factor(event_psa)405",0.110867178924499,0.110867178924542,"factor(event_psa)405",0.11086717892452
"factor(event_psa)406",0.037321624588285,0.0373216245883603,"factor(event_psa)406",0.0373216245883227
"factor(event_psa)407",0.0922063666299972,0.092206366630069,"factor(event_psa)407",0.0922063666300331
"factor(event_psa)408",-0.00439077936330644,-0.00439077936323835,"factor(event_psa)408",-0.00439077936327239
"factor(event_psa)409",0.102085620197599,0.102085620197681,"factor(event_psa)409",0.10208562019764
"factor(event_psa)501",0.189901207464425,0.189901207464467,"factor(event_psa)501",0.189901207464446
"factor(event_psa)502",0.1822173435783,0.182217343578391,"factor(event_psa)502",0.182217343578346
"factor(event_psa)503",0.151481888034841,0.151481888034967,"factor(event_psa)503",0.151481888034904
"factor(event_psa)504",0.0592755214050983,0.0592755214051467,"factor(event_psa)504",0.0592755214051225
"factor(event_psa)505",0.105378704720021,0.105378704720072,"factor(event_psa)505",0.105378704720047
"factor(event_psa)506",0.327113062568392,0.327113062568435,"factor(event_psa)506",0.327113062568414
