"","2.5 %","97.5 %","variable_names","estimate"
"(Intercept)",-0.0240583857470845,0.155265850072127,"(Intercept)",0.0656037321625214
"factor(event_psa)102",-4.17741558808822e-13,-3.07622836936222e-13,"factor(event_psa)102",-3.62682197872522e-13
"factor(event_psa)103",0.0757409440171534,0.075740944017218,"factor(event_psa)103",0.0757409440171857
"factor(event_psa)104",0.0263446761801262,0.0263446761801614,"factor(event_psa)104",0.0263446761801438
"factor(event_psa)105",0.167947310647794,0.16794731064783,"factor(event_psa)105",0.167947310647812
"factor(event_psa)106",0.020856201976079,0.0208562019761124,"factor(event_psa)106",0.0208562019760957
"factor(event_psa)107",0.0076838638859309,0.00768386388598732,"factor(event_psa)107",0.00768386388595911
"factor(event_psa)108",0.0472008781556678,0.0472008781557128,"factor(event_psa)108",0.0472008781556903
"factor(event_psa)301",0.00987925356765931,0.00987925356768765,"factor(event_psa)301",0.00987925356767348
"factor(event_psa)302",0.0669593852906915,0.0669593852907283,"factor(event_psa)302",0.0669593852907099
"factor(event_psa)303",0.0021953896816204,0.00219538968169325,"factor(event_psa)303",0.00219538968165682
"factor(event_psa)304",0.0702524698134647,0.0702524698135079,"factor(event_psa)304",0.0702524698134863
"factor(event_psa)305",0.0252469813394281,0.0252469813395206,"factor(event_psa)305",0.0252469813394744
"factor(event_psa)306",0.0559824368820826,0.0559824368821652,"factor(event_psa)306",0.0559824368821239
"factor(event_psa)307",0.0109769484079854,0.0109769484080543,"factor(event_psa)307",0.0109769484080198
"factor(event_psa)308",0.0834248079033543,0.0834248079034313,"factor(event_psa)308",0.0834248079033928
"factor(event_psa)401",2.08744207089478e-13,2.33139176683451e-13,"factor(event_psa)401",2.20941691886464e-13
"factor(event_psa)402",0.0219538968167148,0.0219538968167472,"factor(event_psa)402",0.021953896816731
"factor(event_psa)403",0.159165751920993,0.159165751921025,"factor(event_psa)403",0.159165751921009
"factor(event_psa)404",0.0713501646541379,0.0713501646541635,"factor(event_psa)404",0.0713501646541507
"factor(event_psa)405",0.00878155872642888,0.00878155872648547,"factor(event_psa)405",0.00878155872645718
"factor(event_psa)406",0.00219538968171449,0.00219538968177441,"factor(event_psa)406",0.00219538968174445
"factor(event_psa)407",0.131723380900153,0.131723380900234,"factor(event_psa)407",0.131723380900194
"factor(event_psa)408",0.00329308452228415,0.00329308452231608,"factor(event_psa)408",0.00329308452230011
"factor(event_psa)409",0.0329308452248611,0.0329308452249288,"factor(event_psa)409",0.032930845224895
"factor(event_psa)501",0.0933040614709093,0.0933040614709725,"factor(event_psa)501",0.0933040614709409
"factor(event_psa)502",0.103183315038533,0.103183315038653,"factor(event_psa)502",0.103183315038593
"factor(event_psa)503",0.0944017563117166,0.0944017563117839,"factor(event_psa)503",0.0944017563117502
"factor(event_psa)504",0.0285400658613532,0.0285400658614573,"factor(event_psa)504",0.0285400658614053
"factor(event_psa)505",0.13391877058155,0.133918770581592,"factor(event_psa)505",0.133918770581571
"factor(event_psa)506",0.283205268935231,0.283205268935303,"factor(event_psa)506",0.283205268935267
"factor(event_psa)507",0.301866081229152,0.30186608122921,"factor(event_psa)507",0.301866081229181
"factor(event_psa)601",0.309549945115004,0.309549945115037,"factor(event_psa)601",0.309549945115021
"factor(event_psa)602",0.725576289790614,0.725576289790686,"factor(event_psa)602",0.72557628979065
"factor(event_psa)603",0.805708013171442,0.805708013171468,"factor(event_psa)603",0.805708013171455
"factor(event_psa)604",0.984632272228804,0.984632272228831,"factor(event_psa)604",0.984632272228817
"factor(event_psa)605",0.26564215148189,0.265642151482038,"factor(event_psa)605",0.265642151481964
"factor(event_psa)606",0.0120746432488359,0.0120746432489019,"factor(event_psa)606",0.0120746432488689
"factor(event_psa)607",0.131723380900006,0.131723380900036,"factor(event_psa)607",0.131723380900021
"factor(event_psa)608",0.600439077936163,0.600439077936191,"factor(event_psa)608",0.600439077936177
"factor(event_psa)701",0.46453714058754,0.838832782573704,"factor(event_psa)701",0.651684961580622
"factor(event_psa)702",0.475514088995967,0.849809730982189,"factor(event_psa)702",0.662661909989078
"factor(event_psa)703",0.244998172420755,0.619293814406872,"factor(event_psa)703",0.432145993413813
"factor(event_psa)704",0.625898282190168,1.00019392417624,"factor(event_psa)704",0.813046103183205
"factor(event_psa)705",0.468927919950914,0.843223561937117,"factor(event_psa)705",0.656075740944016
"factor(event_psa)706",0.673099160346079,1.04739480233224,"factor(event_psa)706",0.860246981339159
"factor(event_psa)707",0.326227590642557,0.700523232628746,"factor(event_psa)707",0.513375411635651
"factor(event_psa)708",0.298785219621605,0.673080861607771,"factor(event_psa)708",0.485933040614688
"factor(quarters_since_treatment)-4",-0.134647003323124,0.034091447767577,"factor(quarters_since_treatment)-4",-0.0502777777777737
"factor(quarters_since_treatment)-3",-0.135707601611658,0.0307076016116533,"factor(quarters_since_treatment)-3",-0.0525000000000024
"factor(quarters_since_treatment)-2",-0.168823625100465,0.0249347362115482,"factor(quarters_since_treatment)-2",-0.0719444444444582
"factor(quarters_since_treatment)-1",-0.145802776334602,0.0446916652234807,"factor(quarters_since_treatment)-1",-0.0505555555555606
"factor(quarters_since_treatment)0",-0.180559086255642,0.00167019736671679,"factor(quarters_since_treatment)0",-0.0894444444444628
"factor(quarters_since_treatment)1",-0.167681647811452,0.0199038700336735,"factor(quarters_since_treatment)1",-0.0738888888888892
"factor(quarters_since_treatment)2",-0.164661751978294,0.0318839742005085,"factor(quarters_since_treatment)2",-0.0663888888888928
"factor(quarters_since_treatment)3",-0.163218869033496,0.0265522023668202,"factor(quarters_since_treatment)3",-0.0683333333333377
"factor(quarters_since_treatment)4",-0.168432489228516,0.023988044784052,"factor(quarters_since_treatment)4",-0.0722222222222322
"factor(quarters_since_treatment)5",-0.158852760751324,0.0249638718624172,"factor(quarters_since_treatment)5",-0.0669444444444534
"factor(quarters_since_treatment)6",-0.119492531809426,0.0728258651427249,"factor(quarters_since_treatment)6",-0.0233333333333505
"factor(quarters_since_treatment)-4:factor(Treated)TRUE",-0.203797105853238,0.187685994742152,"factor(quarters_since_treatment)-4:factor(Treated)TRUE",-0.00805555555554277
"factor(quarters_since_treatment)-3:factor(Treated)TRUE",-0.309647995441807,0.0757591065529342,"factor(quarters_since_treatment)-3:factor(Treated)TRUE",-0.116944444444436
"factor(quarters_since_treatment)-2:factor(Treated)TRUE",-0.259924340176179,0.189924340176205,"factor(quarters_since_treatment)-2:factor(Treated)TRUE",-0.0349999999999869
"factor(quarters_since_treatment)-1:factor(Treated)TRUE",-0.270667515933545,0.0856675159335656,"factor(quarters_since_treatment)-1:factor(Treated)TRUE",-0.0924999999999899
"factor(quarters_since_treatment)0:factor(Treated)TRUE",-0.373941233158491,0.00560789982519683,"factor(quarters_since_treatment)0:factor(Treated)TRUE",-0.184166666666647
"factor(quarters_since_treatment)1:factor(Treated)TRUE",-0.341182108741762,0.0639598865195489,"factor(quarters_since_treatment)1:factor(Treated)TRUE",-0.138611111111107
"factor(quarters_since_treatment)2:factor(Treated)TRUE",-0.370339340407409,0.147561562629656,"factor(quarters_since_treatment)2:factor(Treated)TRUE",-0.111388888888876
"factor(quarters_since_treatment)3:factor(Treated)TRUE",-0.252712072734768,0.083823183845898,"factor(quarters_since_treatment)3:factor(Treated)TRUE",-0.0844444444444352
"factor(quarters_since_treatment)4:factor(Treated)TRUE",-0.158962124637893,0.342295457971238,"factor(quarters_since_treatment)4:factor(Treated)TRUE",0.0916666666666723
"factor(quarters_since_treatment)5:factor(Treated)TRUE",-0.0984616000006322,0.268461600000644,"factor(quarters_since_treatment)5:factor(Treated)TRUE",0.0850000000000059
"factor(quarters_since_treatment)6:factor(Treated)TRUE",-0.290115236266871,0.228448569600221,"factor(quarters_since_treatment)6:factor(Treated)TRUE",-0.0308333333333253
